dr_no,date_occ,mocodes,latitude,longitude
MIDBLOCK-001,2021-07-15T00:00:00.000,3034 0420 3026 3004,34.0535,-118.2434
INTERSECTION-001,2022-03-22T00:00:00.000,0301 0420 3034 3024,34.0617,-118.2916
OUTSIDE-SNAP-001,2022-04-15T00:00:00.000,3004 1819 3028,33.9416,-118.4085
MULTI-SEV-001,2021-09-02T00:00:00.000,3024 4027 3101 3027,34.0617,-118.2916
SYN-FATAL-001,2020-11-23T00:00:00.000,3027 4027 4001 3101,34.048,-118.238
SYN-FATAL-002,2021-01-25T00:00:00.000,3027 3036 1822 0420,34.058,-118.248
SYN-FATAL-003,2022-04-25T00:00:00.000,3034 3701 3027 1822,34.053,-118.244
SYN-FATAL-004,2023-06-20T00:00:00.000,3401 3027 1822 3004,34.053,-118.245
SYN-FATAL-005,2019-02-18T00:00:00.000,3401 3027 0344 0301,34.056,-118.254
SYN-FATAL-006,2020-02-02T00:00:00.000,0301 3101 3401 3027,34.048,-118.238
SYN-INJURY-001,2020-08-21T00:00:00.000,3036 3025 1819 3701,34.061,-118.2925
SYN-INJURY-002,2021-12-22T00:00:00.000,0344 3026 3034 0301,34.061,-118.2925
SYN-INJURY-003,2022-07-09T00:00:00.000,3024 4027 0420 0301,34.058,-118.253
SYN-INJURY-004,2023-01-26T00:00:00.000,4001 3701 3401 3024,34.0612,-118.2912
SYN-INJURY-005,2019-08-13T00:00:00.000,0301 3036 3024 4002,34.053,-118.2425
SYN-INJURY-006,2020-09-09T00:00:00.000,0344 3026 0420 4001,34.05,-118.24
SYN-INJURY-007,2021-08-03T00:00:00.000,3034 3024 3004 1822,34.06,-118.2524
SYN-INJURY-008,2022-10-03T00:00:00.000,3026 4001 1819 0344,34.057,-118.2545
SYN-INJURY-009,2023-01-22T00:00:00.000,3026 0420 0301 3034,34.053,-118.245
SYN-INJURY-010,2019-07-06T00:00:00.000,4002 3024 0420 3004,34.0533,-118.251
SYN-INJURY-011,2020-11-10T00:00:00.000,0301 4027 3026 1819,34.0538,-118.2438
SYN-INJURY-012,2021-09-01T00:00:00.000,3701 0344 4002 3024,34.05,-118.24
SYN-INJURY-013,2022-01-08T00:00:00.000,0344 3034 3025 1822,34.0612,-118.2912
SYN-INJURY-014,2023-08-18T00:00:00.000,3036 3401 3024 4027,34.049,-118.239
SYN-INJURY-015,2019-07-22T00:00:00.000,0301 3701 3026 4002,34.0533,-118.251
SYN-INJURY-016,2020-06-01T00:00:00.000,3101 4027 3024 0344,34.0542,-118.2433
SYN-INJURY-017,2021-01-08T00:00:00.000,3034 3701 3004 3026,34.053,-118.2425
SYN-INJURY-018,2022-08-07T00:00:00.000,3036 4027 3025 0420,34.049,-118.239
SYN-INJURY-019,2023-02-04T00:00:00.000,3025 4001 0301 3701,34.0625,-118.292
SYN-INJURY-020,2019-11-21T00:00:00.000,3026 0301 3034 3004,34.054,-118.2436
SYN-INJURY-021,2020-04-07T00:00:00.000,4002 4027 3024 3036,34.0612,-118.2912
SYN-INJURY-022,2021-02-15T00:00:00.000,1822 3034 4027 3025,34.0612,-118.2912
SYN-INJURY-023,2022-04-06T00:00:00.000,4002 3024 1822 4001,34.057,-118.2475
SYN-INJURY-024,2023-01-13T00:00:00.000,3024 4002 3401 1822,34.056,-118.254
SYN-INJURY-025,2019-05-07T00:00:00.000,0420 3004 0344 3024,34.0625,-118.292
SYN-INJURY-026,2020-10-16T00:00:00.000,4027 3036 1819 3024,34.054,-118.2436
SYN-INJURY-027,2021-10-03T00:00:00.000,0301 4001 3101 3024,34.0542,-118.2433
SYN-INJURY-028,2022-01-20T00:00:00.000,0301 3026 3034 4001,34.052,-118.242
SYN-INJURY-029,2023-06-08T00:00:00.000,3026 3036 3401 4001,34.048,-118.238
SYN-INJURY-030,2019-08-20T00:00:00.000,3024 1822 3034 0344,34.0535,-118.2434
SYN-INJURY-031,2020-02-08T00:00:00.000,3024 3701 3401 3036,34.054,-118.252
SYN-INJURY-032,2021-11-17T00:00:00.000,3004 3026 4027 0301,34.058,-118.248
SYN-INJURY-033,2022-02-04T00:00:00.000,3036 3024 0420 4027,34.061,-118.2925
SYN-INJURY-034,2023-04-22T00:00:00.000,3401 3026 0301 4027,34.0535,-118.2515
SYN-INJURY-035,2019-07-27T00:00:00.000,1822 3401 3024 3004,34.053,-118.2425
SYN-INJURY-036,2020-08-18T00:00:00.000,0420 4001 4027 3024,34.056,-118.247
SYN-INJURY-037,2021-03-18T00:00:00.000,3701 3026 0344 3004,34.055,-118.2445
SYN-INJURY-038,2022-06-26T00:00:00.000,3701 3024 3004 1819,34.0533,-118.251
SYN-INJURY-039,2023-06-25T00:00:00.000,0344 4001 3026 4027,34.0538,-118.2438
SYN-INJURY-040,2019-07-01T00:00:00.000,3036 3024 0420 3701,34.055,-118.2445
SYN-INJURY-041,2020-12-04T00:00:00.000,3004 4002 3025 4001,34.0617,-118.2916
SYN-INJURY-042,2021-04-08T00:00:00.000,3025 0301 3004 3101,34.0533,-118.251
SYN-INJURY-043,2022-05-12T00:00:00.000,0301 4001 3024 4027,34.057,-118.2475
SYN-INJURY-044,2023-10-09T00:00:00.000,3025 3034 3004 0344,34.0617,-118.2916
SYN-INJURY-045,2019-09-04T00:00:00.000,3101 4001 3025 0344,34.052,-118.242
SYN-INJURY-046,2020-09-22T00:00:00.000,3024 1819 1822 0420,34.06,-118.2524
SYN-INJURY-047,2021-06-20T00:00:00.000,3024 3701 3034 0301,34.049,-118.239
SYN-INJURY-048,2022-06-13T00:00:00.000,3401 4027 3026 0420,34.057,-118.2545
SYN-INJURY-049,2023-11-24T00:00:00.000,1822 3026 3036 0344,34.056,-118.254
SYN-INJURY-050,2019-04-14T00:00:00.000,3025 1819 1822 0344,34.0533,-118.251
SYN-INJURY-051,2020-04-17T00:00:00.000,0420 3025 1822 4002,34.049,-118.239
SYN-INJURY-052,2021-11-21T00:00:00.000,3025 3034 3701 0344,34.06,-118.2524
SYN-INJURY-053,2022-04-05T00:00:00.000,3004 3024 1819 3101,34.058,-118.248
SYN-INJURY-054,2023-11-19T00:00:00.000,3025 0420 3101 1822,34.057,-118.2545
SYN-INJURY-055,2019-11-23T00:00:00.000,3004 1822 3024 3034,34.053,-118.244
SYN-INJURY-056,2020-08-02T00:00:00.000,3101 4027 3026 3034,34.06,-118.2524
SYN-INJURY-057,2021-09-20T00:00:00.000,3026 3701 1822 4002,34.06,-118.2524
SYN-INJURY-058,2022-08-15T00:00:00.000,3024 3401 3101 1822,34.056,-118.247
SYN-INJURY-059,2023-05-15T00:00:00.000,3026 0420 3401 3034,34.0612,-118.2912
SYN-INJURY-060,2019-09-03T00:00:00.000,3036 3025 1819 3101,34.055,-118.2445
SYN-PDO-001,2020-04-03T00:00:00.000,1819 3028 4001 3701,34.048,-118.238
SYN-PDO-002,2021-07-13T00:00:00.000,0420 1822 0344 3028,34.0625,-118.292
SYN-PDO-003,2022-01-12T00:00:00.000,3401 3028 1822 4001,34.059,-118.2528
SYN-PDO-004,2023-04-09T00:00:00.000,3028 4002 4001 3004,34.059,-118.2528
SYN-PDO-005,2019-03-27T00:00:00.000,3036 0344 4002 3028,34.056,-118.247
SYN-PDO-006,2020-11-14T00:00:00.000,1819 4002 3036 3028,34.0542,-118.2433
SYN-PDO-007,2021-04-15T00:00:00.000,3028 4001 3701 1819,34.0535,-118.2515
SYN-PDO-008,2022-02-16T00:00:00.000,0420 4027 3004 3028,34.054,-118.2455
SYN-PDO-009,2023-02-25T00:00:00.000,1822 3004 3028 0301,34.053,-118.2425
SYN-PDO-010,2019-03-08T00:00:00.000,3036 0301 4002 3028,34.052,-118.242
SYN-PDO-011,2020-12-09T00:00:00.000,3701 1822 3036 3028,34.058,-118.253
SYN-PDO-012,2021-10-01T00:00:00.000,0344 3028 3401 0301,34.0538,-118.2438
SYN-PDO-013,2022-10-23T00:00:00.000,3101 1819 0301 3028,34.0542,-118.2433
SYN-PDO-014,2023-11-20T00:00:00.000,0344 3034 1822 3028,34.053,-118.245
SYN-PDO-015,2019-06-03T00:00:00.000,3701 0301 4027 3028,34.049,-118.239
SYN-PDO-016,2020-07-12T00:00:00.000,4002 3028 0420 0301,34.0538,-118.2438
SYN-PDO-017,2021-09-21T00:00:00.000,3028 0344 3401 4027,34.056,-118.247
SYN-PDO-018,2022-12-19T00:00:00.000,3101 3701 3401 3028,34.054,-118.2455
SYN-PDO-019,2023-08-19T00:00:00.000,4001 0344 3028 0301,34.0612,-118.2912
SYN-PDO-020,2019-06-06T00:00:00.000,3028 3701 4002 3101,34.053,-118.245
SYN-PDO-021,2020-10-23T00:00:00.000,3004 4027 3028 3401,34.055,-118.2445
SYN-PDO-022,2021-07-16T00:00:00.000,3028 4027 1822 3101,34.056,-118.247
SYN-PDO-023,2022-01-03T00:00:00.000,3028 3101 4001 3401,34.058,-118.253
SYN-PDO-024,2023-09-17T00:00:00.000,3028 0420 3701 4001,34.059,-118.2528
SYN-PDO-025,2019-05-09T00:00:00.000,3034 3028 0420 3101,34.061,-118.2925
SYN-PDO-026,2020-09-25T00:00:00.000,3028 3101 3036 0420,34.056,-118.247
SYN-PDO-027,2021-12-19T00:00:00.000,1822 0344 3028 4027,34.061,-118.2925
SYN-PDO-028,2022-04-12T00:00:00.000,3401 3028 3004 3036,34.0533,-118.251
SYN-PDO-029,2023-09-10T00:00:00.000,0420 3036 3028 0301,34.054,-118.2436
SYN-PDO-030,2019-05-16T00:00:00.000,1819 3701 3028 4002,34.051,-118.241
SYN-PDO-031,2020-08-04T00:00:00.000,1819 3034 3028 4001,34.053,-118.245
SYN-PDO-032,2021-03-26T00:00:00.000,3401 3034 3028 0344,34.053,-118.244
SYN-PDO-033,2022-10-26T00:00:00.000,3028 3101 0344 4027,34.052,-118.242
SYN-PDO-034,2023-10-14T00:00:00.000,3401 1822 0344 3028,34.0533,-118.251
SYN-PDO-035,2019-04-21T00:00:00.000,3101 3401 0301 3028,34.057,-118.2475
SYN-PDO-036,2020-09-03T00:00:00.000,3028 3036 3004 4001,34.0617,-118.2916
SYN-PDO-037,2021-01-08T00:00:00.000,3401 0420 3028 1819,34.0533,-118.251
SYN-PDO-038,2022-11-19T00:00:00.000,0301 1822 3028 3101,34.061,-118.2925
SYN-PDO-039,2023-03-09T00:00:00.000,3036 1819 3034 3028,34.053,-118.2425
SYN-PDO-040,2019-12-27T00:00:00.000,4002 3401 0344 3028,34.052,-118.242
SYN-PDO-041,2020-07-09T00:00:00.000,4027 1819 3028 4002,34.048,-118.238
SYN-PDO-042,2021-07-24T00:00:00.000,3701 0344 3401 3028,34.055,-118.2445
SYN-PDO-043,2022-10-19T00:00:00.000,3004 3028 0301 1822,34.049,-118.239
SYN-PDO-044,2023-03-16T00:00:00.000,4002 4027 3028 0301,34.057,-118.2475
SYN-PDO-045,2019-08-03T00:00:00.000,4001 3028 4002 3701,34.053,-118.2425
SYN-PDO-046,2020-03-11T00:00:00.000,3028 4001 4002 0420,34.053,-118.245
SYN-PDO-047,2021-09-02T00:00:00.000,3701 3028 4002 3034,34.054,-118.2455
SYN-PDO-048,2022-07-28T00:00:00.000,3004 3028 4027 0301,34.057,-118.2475
SYN-PDO-049,2023-09-12T00:00:00.000,0344 1822 3028 4002,34.0625,-118.292
SYN-PDO-050,2019-09-05T00:00:00.000,3401 4002 3028 0420,34.061,-118.2925
SYN-PDO-051,2020-10-26T00:00:00.000,3101 3028 3036 0420,34.053,-118.2425
SYN-PDO-052,2021-07-03T00:00:00.000,3101 4002 3034 3028,34.05,-118.24
